id,name,field_scale_npc,field_scale_member,battle_scale_member,battle_scale_enemy,call_effect_scale,collection_offset_y,mission_scale
898,ベッティーさん,1,1,1,3,0.55,0.5,1
899,ベッティさん(羊),1,1,1,1.5,0.6,0,1
900,ベッティさん(目覚まし),1,1,1,1.5,0.6,0,1
901,ヤーメルン邪先生,1,1,1,2.1,0.6,-0.5,1
902,怪盗ダルマント,1.5,1,1,2.1,0.6,-0.5,1
903,カミナラス五郎,1,1,1,2,0.55,-0.5,1
904,バックバンド,1,1,1,1,0.65,0,1
905,ゴゴゴＧＦ,1,1,1,1.8,0.6,-1.5,1
906,ゴゴゴ[ＧＦ/ゴッドファーザー]の部下,1,1,1,1.3,0.6,0,1
907,ゴゴゴ[ＧＦ/ゴッドファーザー]の部下,1,1,1,1.3,0.6,0,1
908,ゴゴゴ[ＧＦ/ゴッドファーザー]の部下,1,1,1,1.3,0.6,0,1
909,空想ユメミガチーノ,1,1,1,1.3,0.32,-0.7,1
910,坐・だるま師匠,3,1,1,1.2,0.25,-0.7,1
911,ゲボール不死長,1,1,1,1,0.52,0,1
912,びしゃがつく,1,1,1,1.5,0.4,-0.5,1
913,社員,1,1,1,1.3,1,0,1
914,エリート社員,1,1,1,1.3,1,0,1
915,鬼ゾンビ,1,1,1,1.8,0.45,0,1
916,鬼[ＫＩＮＧ/キング],1,1,1,1.8,0.45,0,1
917,Ｇババーン,1,1,1,1,0.4,0,1
918,怪鬼(仮)(本体),1,1,1,1,0.43,-0.5,1
919,怪鬼(仮)(頭右),1,1,1,1,1,0,1
920,怪鬼(仮)(頭左),1,1,1,1,1,0,1
921,惨ゲ鬼,1,1,1,1,0.43,-0.5,1
922,惨ゲ鬼,1,1,1,1,1,0,1
923,惨ゲ鬼,1,1,1,1,1,0,1
924,ゴゴゴＧＦ（ハクスラ）,1,1,1,1,0.45,-0.4,1
925,クジラマン,1,1,1,1.8,0.5,-0.5,1
926,大妖魔ホゲホエール,1,1,1,0.76,0.11,-0.5,1
927,ドグーさん（仮）,1,1,1,1,0.5,-1.8,1
928,豪鉄鬼,1,1,1,1,0.35,-0.5,1
929,部族のお面ボス,1,1,1,1,0.5,-0.3,1
930,覚醒日ノ神,1,1,1,1.6,0.35,-0.5,1
931,ロボニャン２８号,1,1,1,1.6,0.4,0,1
932,キャプテンサンダー,1,1,1,1,0.4,-0.5,1
933,キャプテンサンダー,1,1,1,1,0.35,-1.5,1
934,ブシ王,1,1,1,1,0.35,0,1
935,あなほりモグ蔵,1,1,1,1,0.45,0,1
936,ミンミンゼミ,0,0,0,0,2.5,0,0
937,アブラゼミ,0,0,0,0,2.5,0,0
938,ヒグラシ,0,0,0,0,2.5,0.3,0
939,カブトムシ,0,0,0,0,2,0.7,0
940,オオクワガタ,0,0,0,0,2,0.8,0
941,ノコギリクワガタ,0,0,0,0,2,0.8,0
942,ショウジョウバッタ,0,0,0,0,2,0.5,0
943,カマキリ,0,0,0,0,1.7,0.4,0
944,トノサマバッタ,0,0,0,0,2,0.5,0
945,ホタル,0,0,0,0,2.6,0.7,0
946,アゲハチョウ,0,0,0,0,1.75,-0.7,0
947,カミキリムシ,0,0,0,0,3.1,0.4,0
948,ハナムグリ,0,0,0,0,3,0.5,0
949,テントウムシ,0,0,0,0,3,0.3,0
950,アキアカネ,0,0,0,0,3,0,0
951,アマガエル,0,0,0,0,4,0.5,0
952,イナゴ,0,0,0,0,2.5,0.2,0
953,オオムラサキ,0,0,0,0,1.75,-0.9,0
954,オニヤンマ,0,0,0,0,2,0,0
955,カタツムリ,0,0,0,0,2.2,0.2,0
956,カナブン,0,0,0,0,3,0.5,0
957,カメムシ,0,0,0,0,3.5,0.5,0
958,カラスアゲハ,0,0,0,0,1.75,-0.9,0
959,キリギリス,0,0,0,0,2,0,0
960,コオロギ,0,0,0,0,3,0.2,0
961,コガネムシ,0,0,0,0,3,0.5,0
962,スズムシ,0,0,0,0,3,0.2,0
963,タマムシ,0,0,0,0,3,0.2,0
964,ダンゴムシ,0,0,0,0,3.5,0.5,0
965,ニホントカゲ,0,0,0,0,2,0.3,0
966,ヒキガエル,0,0,0,0,1,0.5,0
967,モンシロチョウ,0,0,0,0,2.5,-0.4,0
968,アメンボ,0,0,0,0,3,0,0
969,ミヤマクワガタ,0,0,0,0,2,0.6,0
970,クマゼミ,0,0,0,0,2.5,0.2,0
971,ニイニイゼミ,0,0,0,0,2.5,0.2,0
972,ツクツクボウシ,0,0,0,0,2.5,0.3,0
973,アカハライモリ,0,0,0,0,2,0.2,0
974,ゲンゴロウ,0,0,0,0,3,0.3,0
975,タガメ,0,0,0,0,3,1,0
976,カブトエビ,0,0,0,0,3,0,0
977,タニシ,0,0,0,0,2.8,0.2,0
978,ハラビロカマキリ,0,0,0,0,2.2,0.2,0
979,ナナフシ,0,0,0,0,2,0.5,0
980,シオカラトンボ,0,0,0,0,2,0.5,0
981,ギンヤンマ,0,0,0,0,2,0,0
982,オケラ,0,0,0,0,3.5,0.3,0
983,カナヘビ,0,0,0,0,2,0,0
984,ヒラタクワガタ,0,0,0,0,2,0.6,0
985,ジャンボタニシ,0,0,0,0,3.5,0,0
986,アキアカネ,0,0,0,0,2.7,0,0
987,アメンボ,0,0,0,0,2.3,0.4,0
988,ゾウムシ,0,0,0,0,2.2,0.6,0
989,ミズスマシ,0,0,0,0,2.8,0.7,0
990,ヤゴ,0,0,0,0,1.7,0.5,0
991,タイコウチ,0,0,0,0,2.1,1,0
992,ハンミョウ,0,0,0,0,2,0.2,0
993,オオスカシバ,0,0,0,0,1.4,0.3,0
994,イトトンボ,0,0,0,0,3,0,0
995,コメツキムシ,0,0,0,0,1.5,0.55,0
996,カメ,0,0,0,0,2,0.1,0
997,ブラックバス,0,0,0,0,1,0,0
998,イトウ,0,0,0,0,0.8,-0.2,0
999,フナ,0,0,0,0,1.3,-0.4,0
1000,アユ,0,0,0,0,1.4,-0.2,0
1001,ライギョ,0,0,0,0,0.8,-0.2,0
1002,アジ,0,0,0,0,1,-0.2,0
1003,タイ,0,0,0,0,0.8,-0.8,0
1004,カジキ,0,0,0,0,0.6,-1,0
1005,クラゲ,0,0,0,0,1.5,-0.8,0
1006,ホタルイカ,0,0,0,0,2.5,-0.3,0
1007,アンコウ,0,0,0,0,0.9,-0.7,0
1008,コンゴウフグ,0,0,0,0,1.2,-0.3,0
1009,ナマズ,0,0,0,0,1.45,-0.5,0
1010,カサゴ,0,0,0,0,0.8,-0.2,0
1011,イシダイ,0,0,0,0,1.6,-0.5,0
1012,アメリカザリガニ,0,0,0,0,1.5,0,0
1013,ウナギ,0,0,0,0,0.8,0.2,0
1014,コイ,0,0,0,0,1,-0.6,0
1015,サケ,0,0,0,0,0.8,-0.3,0
1016,サワガニ,0,0,0,0,3.5,0.3,0
1017,スッポン,0,0,0,0,1.8,0,0
1018,ドジョウ,0,0,0,0,4.5,0.1,0
1019,シャコ,0,0,0,0,2,0.4,0
1020,ボラ,0,0,0,0,1,-0.5,0
1021,ヤマメ,0,0,0,0,1.4,-0.2,0
1022,コウイカ,0,0,0,0,1,-0.3,0
1023,アナゴ,0,0,0,0,0.8,0.2,0
1024,イサキ,0,0,0,0,1,-0.5,0
1025,イセエビ,0,0,0,0,1.2,0.2,0
1026,イワシ,0,0,0,0,1.7,-0.2,0
1027,ヒトデ,0,0,0,0,3,0.35,0
1028,エイ,0,0,0,0,0.58,0,0
1029,タチウオ,0,0,0,0,0.8,-1,0
1030,カレイ,0,0,0,0,1,0.5,0
1031,カワハギ,0,0,0,0,1.2,-0.6,0
1032,キス,0,0,0,0,1.5,0,0
1033,サバ,0,0,0,0,1.5,-0.4,0
1034,スズキ,0,0,0,0,1.1,-0.3,0
1035,ハモ,0,0,0,0,1,0,0
1036,シジミ,0,0,0,0,1,0,0
1037,カマス,0,0,0,0,1.2,0.1,0
1038,スルメイカ,0,0,0,0,1.3,-0.5,0
1039,タコ,0,0,0,0,1,-0.5,0
1040,タツノオトシゴ,0,0,0,0,2,-1.8,0
1041,モイカ,0,0,0,0,1,-0.3,0
1042,トビウオ,0,0,0,0,1.2,-0.1,0
1043,ハリセンボン,0,0,0,0,1,-0.5,0
1044,ヒラメ,0,0,0,0,1,-0.1,0
1045,ブリ,0,0,0,0,0.8,-0.4,0
1046,マグロ,0,0,0,0,0.65,-1.1,0
1047,ヤリイカ,0,0,0,0,1,-0.5,0
1048,チヌ,0,0,0,0,1,-0.5,0
1049,メジナ,0,0,0,0,1.2,-0.6,0
1050,おたまじゃくし,0,0,0,0,1,0,0
1051,コンゴウフグ,0,0,0,0,1.3,0,0
1052,ハモ,0,0,0,0,0.8,0.4,0
1053,シジミ,0,0,0,0,2.6,0,0
1054,ニオイガメ,0,0,0,0,1.7,0,0
1055,キングサーモン,0,0,0,0,0.73,0,0
1056,オオナマズ,0,0,0,0,0.4,0.3,0
1057,アリゲーターガー,0,0,0,0,0.58,-0.85,0
1058,ホワイトバス,0,0,0,0,1,0,0
1059,ブルーギル,0,0,0,0,1,0,0
1060,パンプキンシード,0,0,0,0,1,0,0
1061,アカミミガメ,0,0,0,0,1.7,0,0
1062,カワマス,0,0,0,0,1,0,0
